gender,ssc_p,ssc_b,hsc_p,hsc_b,hsc_s,degree_p,degree_t,workex,etest_p,specialisation,mba_p,status,salary
1,-0.028086969730635823,1,2.2688123017830994,1,1,-1.1401022477893623,2,0,-1.2910908735226723,1,-0.5976467228631349,1,270000.0
1,1.1133686857565328,0,1.1034479861362076,1,2,1.5132667052451647,2,1,1.0871567944256875,0,0.6876202028379005,1,200000.0
1,-0.2132379276360971,0,0.1533127548313628,0,0,-0.3228428166698982,0,0,0.21890764580961963,0,-0.7694738519675514,1,250000.0
1,-1.046417238210673,0,-1.3183391039176713,0,2,-1.9573616789088262,2,0,-0.4605916878899117,1,-0.48939563152735216,0,
1,1.7123320345807,0,0.6683909053935242,0,1,0.9439093015652705,0,0,1.8648060318818176,0,-1.1646762489077085,1,425000.0
1,-1.1389927171634036,1,-1.5206912344956638,1,2,0.1198393751864781,2,1,-1.2910908735226723,0,-1.8382385949970212,0,
0,-1.9721720277379793,1,-1.575878179198752,1,1,1.7203057611287618,0,0,0.16454769911365721,0,-1.544414204228469,0,
1,1.3605452145603238,0,-0.2146002098558957,0,2,-0.050423006296743574,2,1,-0.38509176192329714,0,-0.023744111654383542,1,252000.0
1,0.527365903985748,0,1.1650734077213236,0,1,0.7668364248227204,0,0,1.4525764361041025,0,-0.16979717139313774,1,231000.0
1,-0.8612662803052116,0,0.3372692371749921,0,1,-0.7314725322296303,0,0,-1.3665907994892867,0,-1.7299875036612384,0,
1,-0.8612662803052116,0,-0.4905349333713396,0,1,-0.8676824374162075,0,1,-0.7625913917563701,1,-0.24540110819908056,1,260000.0
1,0.21260927554646333,0,0.19010405130008917,0,1,1.6249588274981572,0,1,-0.9135912436895993,0,0.24430620974850645,1,250000.0
0,-1.8795965487852486,0,-1.0424043804022274,1,2,-0.1866329114833209,0,0,-0.7625913917563701,1,0.474554562748425,0,
0,0.8976678197966705,0,1.9008993370958407,0,1,-1.0038923426027848,0,0,-0.30959183595668255,0,1.091413956233278,1,218000.0
1,-0.49096436449428904,0,-1.7782303097767445,0,1,-2.2297814892819807,0,0,0.2944075717762342,1,-1.2574628986240932,0,
